m_date,site_name,temp,ph,ec,do,탁도 (NTU),toc,tn,tp,clola-a
2018-01-08 13h,주암호,,,,,,,,,
2018-01-08 14h,주암호,,,,,,,,,
2018-01-08 15h,주암호,,,,,,,,,
2018-01-08 16h,주암호,,,,,,,,,
2018-01-08 17h,주암호,,,,,,,,,
2018-01-08 18h,주암호,,,,,,,,,
2018-01-08 19h,주암호,,,,,,,,,
2018-01-08 20h,주암호,,,,,,,,,
2018-01-08 21h,주암호,,,,,,,,,
2018-01-08 22h,주암호,,,,,,,,,
2018-01-08 23h,주암호,,,,,,,,,
2018-01-09 00h,주암호,,,,,,,,,
2018-01-09 01h,주암호,,,,,,,,,
2018-01-09 02h,주암호,,,,,,,,,
2018-01-09 03h,주암호,,,,,,,,,
2018-01-09 04h,주암호,,,,,,,,,
2018-01-09 05h,주암호,,,,,,,,,
2018-01-09 06h,주암호,,,,,,,,,
2018-01-09 07h,주암호,,,,,,,,,
2018-01-09 08h,주암호,,,,,,,,,
2018-01-09 09h,주암호,,,,,,,,,
2018-01-09 10h,주암호,,,,,,,,,
2018-01-09 11h,주암호,,,,,,,,,
2018-01-09 12h,주암호,,,,,,,,,
2018-01-09 13h,주암호,,,,,,,,,
2018-01-09 14h,주암호,,,,,,,,,
2018-01-09 15h,주암호,,,,,,,,,
2018-01-09 16h,주암호,,,,,,,,,
2018-01-09 17h,주암호,,,,,,,,,
2018-01-09 18h,주암호,,,,,,,,,
2018-01-09 19h,주암호,,,,,,,,,
2018-01-09 20h,주암호,,,,,,,,,
2018-01-09 21h,주암호,,,,,,,,,
2018-01-09 22h,주암호,,,,,,,,,
2018-01-09 23h,주암호,,,,,,,,,
2018-01-10 00h,주암호,,,,,,,,,
2018-01-10 01h,주암호,,,,,,,,,
2018-01-10 02h,주암호,,,,,,,,,
2018-01-10 03h,주암호,,,,,,,,,
2018-01-10 04h,주암호,,,,,,,,,
2018-01-10 05h,주암호,,,,,,,,,
2018-01-10 06h,주암호,,,,,,,,,
2018-01-10 07h,주암호,,,,,,,,,
2018-01-10 08h,주암호,,,,,,,,,
2018-01-10 09h,주암호,,,,,,,,,
2018-01-10 10h,주암호,,,,,,,,,
